date,latitude,longitude,ice_concentration
2026-08-20,-50.000,-180.000,0.1500
2026-08-20,-50.000,-150.000,0.2200
2026-08-20,-50.000,-120.000,0.3100
2026-08-20,-50.000,-90.000,0.2600
2026-08-20,-50.000,-60.000,0.1800
2026-08-20,-50.000,-30.000,0.1400
2026-08-20,-50.000,0.000,0.1200
2026-08-20,-50.000,30.000,0.0900
2026-08-20,-50.000,60.000,0.1500
2026-08-20,-50.000,90.000,0.2000
2026-08-20,-50.000,120.000,0.2600
2026-08-20,-50.000,150.000,0.3100
2026-08-20,-55.000,-180.000,0.2300
2026-08-20,-55.000,-150.000,0.3300
2026-08-20,-55.000,-120.000,0.4300
2026-08-20,-55.000,-90.000,0.3600
2026-08-20,-55.000,-60.000,0.2700
2026-08-20,-55.000,-30.000,0.2100
2026-08-20,-55.000,0.000,0.1800
2026-08-20,-55.000,30.000,0.1400
2026-08-20,-55.000,60.000,0.2200
2026-08-20,-55.000,90.000,0.2800
2026-08-20,-55.000,120.000,0.3300
2026-08-20,-55.000,150.000,0.4000
2026-08-20,-60.000,-180.000,0.3200
2026-08-20,-60.000,-150.000,0.4200
2026-08-20,-60.000,-120.000,0.5400
2026-08-20,-60.000,-90.000,0.4700
2026-08-20,-60.000,-60.000,0.3400
2026-08-20,-60.000,-30.000,0.2800
2026-08-20,-60.000,0.000,0.2500
2026-08-20,-60.000,30.000,0.2000
2026-08-20,-60.000,60.000,0.2600
2026-08-20,-60.000,90.000,0.3400
2026-08-20,-60.000,120.000,0.4200
2026-08-20,-60.000,150.000,0.5000
2026-08-20,-65.000,-180.000,0.4200
2026-08-20,-65.000,-150.000,0.5100
2026-08-20,-65.000,-120.000,0.6200
2026-08-20,-65.000,-90.000,0.5700
2026-08-20,-65.000,-60.000,0.4300
2026-08-20,-65.000,-30.000,0.3700
2026-08-20,-65.000,0.000,0.3200
2026-08-20,-65.000,30.000,0.2500
2026-08-20,-65.000,60.000,0.3000
2026-08-20,-65.000,90.000,0.3900
2026-08-20,-65.000,120.000,0.4800
2026-08-20,-65.000,150.000,0.5500
2026-08-20,-70.000,-180.000,0.5200
2026-08-20,-70.000,-150.000,0.6100
2026-08-20,-70.000,-120.000,0.7000
2026-08-20,-70.000,-90.000,0.6500
2026-08-20,-70.000,-60.000,0.5300
2026-08-20,-70.000,-30.000,0.4700
2026-08-20,-70.000,0.000,0.4200
2026-08-20,-70.000,30.000,0.3600
2026-08-20,-70.000,60.000,0.4100
2026-08-20,-70.000,90.000,0.4900
2026-08-20,-70.000,120.000,0.5600
2026-08-20,-70.000,150.000,0.6300
2026-08-20,-75.000,-180.000,0.6200
2026-08-20,-75.000,-150.000,0.7100
2026-08-20,-75.000,-120.000,0.8200
2026-08-20,-75.000,-90.000,0.7600
2026-08-20,-75.000,-60.000,0.6500
2026-08-20,-75.000,-30.000,0.5900
2026-08-20,-75.000,0.000,0.5200
2026-08-20,-75.000,30.000,0.4700
2026-08-20,-75.000,60.000,0.5400
2026-08-20,-75.000,90.000,0.6100
2026-08-20,-75.000,120.000,0.6900
2026-08-20,-75.000,150.000,0.7600
